num_target;   la; isd; typealmax; niter;     tex; te_acc;
         6; 10.0;   3; 2;  156;  0.4214;   99.6;
         7;  0.0;   1; 2;   46;  0.1502;   98.8;
         7;  0.0;   3; 2; 1000;  2.1396;   99.2;
         7;  1.0;   1; 2;  165;  0.4793;  100.0;
         7;  1.0;   3; 2; 1000;  2.3304;  100.0;
         7; 10.0;   1; 2;   61;  0.2033;   99.6;
         7; 10.0;   3; 2;  539;  1.3163;   99.6;
         8;  0.0;   1; 2; 1000;  2.3855;   97.2;
         8;  0.0;   3; 2; 1000;  2.2309;   97.2;
         8;  1.0;   1; 2;  743;  1.8993;   98.0;
         8;  1.0;   3; 2; 1000;  2.2300;   98.0;
         8; 10.0;   1; 2;  194;  0.5459;   91.6;
         8; 10.0;   3; 2; 1000;  2.1912;   90.0;
         9;  0.0;   1; 2; 1000;  2.4969;   96.8;
         9;  0.0;   3; 2; 1000;  2.3110;   98.8;
         9;  1.0;   1; 2;  502;  1.3140;   99.2;
         9;  1.0;   3; 2; 1000;  2.3019;   99.2;
         9; 10.0;   1; 2;  154;  0.4478;   99.2;
         9; 10.0;   3; 2; 1000;  2.1698;   98.4;
         0;  0.0;   1; 2;  408;  1.0511;   99.2;
         0;  0.0;   3; 2; 1000;  2.2023;   98.0;
         0;  1.0;   1; 2;  362;  0.9371;   99.2;
         0;  1.0;   3; 2;  155;  0.4649;   99.2;
         0; 10.0;   1; 2;  127;  0.3874;   99.2;
         0; 10.0;   3; 2; 1000;  2.1226;   88.8;
         1;  0.0;   1; 3;    4;  0.0487;  100.0;
         1;  0.0;   3; 3;    4;  0.0583;  100.0;
         1;  1.0;   1; 3;   90;  0.2833;  100.0;
         1;  1.0;   3; 3;   34;  0.1438;  100.0;
         1; 10.0;   1; 3;   58;  0.2004;  100.0;
         1; 10.0;   3; 3;   62;  0.2172;    0.0;
         2;  0.0;   1; 3;   48;  0.1605;  100.0;
         2;  0.0;   3; 3;  345;  1.0370;   46.0;
         2;  1.0;   1; 3;  230;  0.6014;  100.0;
         2;  1.0;   3; 3; 1000;  2.9606;   89.2;
         2; 10.0;   1; 3;   86;  0.2833;  100.0;
         2; 10.0;   3; 3; 1000;  3.0614;  100.0;
         3;  0.0;   1; 3;  158;  0.4010;   98.8;
         3;  0.0;   3; 3;  749;  2.4809;   54.4;
         3;  1.0;   1; 3;  441;  1.2063;   99.2;
         3;  1.0;   3; 3; 1000;  3.1164;   99.2;
         3; 10.0;   1; 3; 1000;  2.3673;   99.2;
         3; 10.0;   3; 3; 1000;  3.2130;   98.8;
         4;  0.0;   1; 3;    3;  0.0511;   99.6;
         4;  0.0;   3; 3;    4;  0.0562;  100.0;
         4;  1.0;   1; 3;   97;  0.3086;  100.0;
         4;  1.0;   3; 3;   37;  0.1802;  100.0;
         4; 10.0;   1; 3;   42;  0.1650;  100.0;
         4; 10.0;   3; 3;   53;  0.1782;  100.0;
         5;  0.0;   1; 3;    5;  0.0503;   99.6;
         5;  0.0;   3; 3;    5;  0.0717;   99.6;
         5;  1.0;   1; 3;  173;  0.5048;   99.6;
         5;  1.0;   3; 3;   71;  0.2329;   99.6;
         5; 10.0;   1; 3;   61;  0.2084;   99.6;
         5; 10.0;   3; 3; 1000;  3.0918;   99.6;
         6;  0.0;   1; 3;    4;  0.0515;   99.6;
         6;  0.0;   3; 3;    4;  0.0522;   99.2;
         6;  1.0;   1; 3;  262;  0.7420;  100.0;
         6;  1.0;   3; 3;   57;  0.1975;  100.0;
         6; 10.0;   1; 3; 1000;  2.1391;   99.6;
         6; 10.0;   3; 3; 1000;  2.9688;  100.0;
         7;  0.0;   1; 3;   44;  0.1447;   98.8;
         7;  0.0;   3; 3;  318;  0.9214;   26.8;
         7;  1.0;   1; 3;  123;  0.3579;  100.0;
         7;  1.0;   3; 3;  663;  1.9664;  100.0;
         7; 10.0;   1; 3;   43;  0.1541;   99.6;
         7; 10.0;   3; 3;   58;  0.1957;    0.0;
         8;  0.0;   1; 3; 1000;  2.3331;   97.2;
         8;  0.0;   3; 3;  141;  0.4536;   73.6;
         8;  1.0;   1; 3;  676;  1.8138;   98.0;
         8;  1.0;   3; 3; 1000;  3.1912;   98.0;
         8; 10.0;   1; 3; 1000;  2.1790;   91.6;
         8; 10.0;   3; 3; 1000;  3.0371;   96.4;
         9;  0.0;   1; 3; 1000;  2.3980;   96.8;
         9;  0.0;   3; 3;  850;  2.4642;   80.4;
         9;  1.0;   1; 3;  435;  1.0718;   99.2;
         9;  1.0;   3; 3;  365;  1.0973;   99.2;
         9; 10.0;   1; 3;  105;  0.3035;   99.2;
         9; 10.0;   3; 3;   75;  0.2457;    0.0;
         0;  0.0;   1; 3;  360;  0.8859;   99.2;
         0;  0.0;   3; 3;   19;  0.1069;   22.8;
         0;  1.0;   1; 3;  286;  0.7288;   99.2;
         0;  1.0;   3; 3; 1000;  2.8998;    9.2;
         0; 10.0;   1; 3;  114;  0.3309;   99.2;
         0; 10.0;   3; 3; 1000;  2.9560;   99.2;
